id_product,product_name,description
57,Aerie Boybrief,"It all started with a boybrief: our original fit! It all started with a boybrief: our original fit! 10 years later, it’s still our #1 fit. style: 6441-1499 | color: 101 Comfy, stretchy cotton Aerie undies: your panty drawer just got REAL! Everyday Loves Collection Binding at waist and leg openings We call them favorites for a reason Low rise 93% Cotton, 7% Spandex Machine Wash Imported read more read less"
58,Aerie Pride Boybrief,"Unite. Stand up. Stand out. Express ourselves. Share truth. Accept all. Feel free. Celebrate us. Love everyone. Pride 2017. | 100% of proceeds benefit the It Gets Better Project. style: 9931-1544 | color: 101 Comfy stretch cotton Low rise No cheek peek Fun pride graphic at booty! Learn more at itgetsbetter.org 95% Cotton, 5% Spandex Machine Wash Imported read more read less"
59,Aerie Graphic Boybrief,"Our #1 fit. It all started with a boybrief: our original fit! 10 years later, it’s still our #1 fit. style: 6443-5478 | color: 389 Comfy, stretchy cotton Low rise No cheek peek S'cute graphic at booty Aerie undies: your panty drawer just got REAL! 95% Cotton, 5% Spandex Machine Wash Imported read more read less"
60,Aerie Thong,"Oh happy day… Comfy, o-so-cute & total cheek! Your go-to love (with the most cheek peek) in our fave fabric: Our classic, comfy ""Favorite"" cotton. style: 5441-7905 | color: 410 Comfy, stretchy cotton Low rise Total cheek! Simply sexy solid colors Wide lace waistband We call them favorites for a reason Undies: the REAL way to say panties. Everyday Loves Collection 93% Cotton, 7% Spandex Machine Wash Imported read more read less"
61,Aerie Seamless Boybrief,"Our #1 fit. Smooth: No seams. All comfort. Real comfy. style: 1774-6116 | color: 933 Smooth seamless fabric Aerie undies: Your panty drawer just got REAL. Low rise No cheek peek 56% Nylon, 36% Polyester, 8% Elastane Machine Wash Imported read more read less"
62,Aerie Boybrief,"Our #1 fit. It all started with a boybrief: our original fit! 10 years later, it’s still our #1 fit. style: 6443-5410 | color: 802 Comfy, stretchy cotton Low rise No cheek peek Aerie undies: Your panty drawer just got REAL. 95% Cotton, 5% Elastane Machine Wash Imported read more read less"
63,Aerie Boybrief,"These are a few of our favorite things. 10 years later, it’s still our #1 fit. style: 6441-4566 | color: 890 Comfy, stretchy cotton Low rise No cheek peek Wide lace waistband Lace at waist & leg openings We call them favorites for a reason Undies: the REAL way to say panties. Everyday Loves Collection 95% Cotton, 5% Elastane Machine Wash Imported read more read less"
64,Aerie Thong,"Total cheek! The soft and comfy cotton you love in the fit you go to. style: 5442-5444 | color: 651 Comfy cotton Low rise Total cheek! Wide lace waistband Pretty bow at front Lace at leg openings Aerie undies: Your panty drawer just got REAL! 95% Cotton, 5% Elastane Imported read more read less"
65,Aerie Seamless Boybrief,"Our #1 fit. Smooth: No seams. All comfort. Real comfy. style: 1774-5447 | color: 073 Smooth seamless fabric Aerie undies: Your panty drawer just got REAL. Low rise No cheek peek 93% Nylon, 7% Elastane Machine Wash Imported read more read less"
66,Aerie Everyday Loves Lace Bikini,"Introducing Everyday Loves™: Made with love. Everyday, loves: Listen to your heart. Get comfy. Be Happy. Your go-to fave has just a peek of cheek & a whole lot of WOW. style: 5775-5972 | color: 184 Comfy, stretchy cotton Soft lace with the right amount of stretch Aerie undies: your panty drawer just got REAL! Low rise 97% Nylon, 3% Spandex Machine Wash Imported read more read less"
67,Aerie Thong,"Total cheek! The soft and comfy cotton you love in the fit you go to. style: 5442-5444 | color: 341 Comfy cotton Low rise Total cheek! Wide lace waistband Pretty bow at front Lace at leg openings Aerie undies: Your panty drawer just got REAL! 95% Cotton, 5% Elastane Imported read more read less"
68,Aerie Sunnie Colorblock Thong,"We're serious about soft. The Real Soft® fabric you love in the total cheek! fit you go to. style: 1772-6080 | color: 410 Real Soft® fabric Low rise Total cheek! Aerie undies: Your panty drawer just got REAL. 72% Nylon, 28% Spandex Machine Wash Imported read more read less"
69,Aerie Shine Boyshort + Boho Lace,"Shine on. A peek of cheek meets peace, love and lace. style: 5779-6110 | color: 659 Smooth shine fabric + Boho lace Low rise No cheek peek Boho lace waistband Pretty bow at front Lace at leg openings Aerie undies: Your panty drawer just got REAL! 85% Nylon, 15% Elastane Machine Wash Imported read more read less"
70,Aerie Seamless Boybrief,"Our #1 fit. Smooth: No seams. All comfort. Real comfy. style: 1774-5447 | color: 401 Smooth seamless fabric Aerie undies: Your panty drawer just got REAL. Low rise No cheek peek 93% Nylon, 7% Elastane Machine Wash Imported read more read less"
71,Aerie Shine Cheeky + Boho Lace,"Peace, love & lace. Shine on with more cheek peek. style: 1776-6107 | color: 410 Smooth shine fabric + boho lace Low rise More cheek peek Wide boho lace waistband Undies: the REAL way to say panties. Low rise A peek of cheek 85% Nylon, 15% Elastane Machine Wash Imported read more read less"
