id_product,product_name,description
512,Embroidered Triangle Bra,"Nude mesh triangle bra with floral embroidery detail and cross-over detail back. 89% Polyamide, 11% Elastane. Machine wash."
513,Knickers by Somedays Lovin',"White knickers by Somedays Lovin'. 85% Polyester, 15% Elastane. Machine wash."
514,Front Fastening Dot Triangle Bra,"Non-padded triangle bra with non-wired cups for a barely there, natural shape with front fastening. 100% Polyester. Machine wash."
515,Underwired Lace Bra,"It’s all about delicate detail with this floral lace bra. With underwired for support, it provides a barley there feel without pads. 89% Nylon, 15% Elastane. Machine wash."
516,Broderie Lace Mini Knickers,"Mini knickers with good coverage. 90% Polyamide, 10% Elastane. Machine wash."
517,Broderie Lace Underwired Bra,"Non-padded bra with underwired cups for a barely-there feel with discreet support. 90% Polyamide,10% Elastane. Machine wash."
518,Laura Suspenders by Bluebella,"Black suspenders by Bluebella. 89% Polyamide, 11% Elastane. Machine wash."
519,Satin Brazilian Knickers,"This satin underwear set boasts a padded, underwired bralet and matching Brazilian knickers. 89% Polyamide, 11% Elastane. Machine wash."
520,Criss Cross Lace Underwire Bra,"Update your under layers with this pretty lace underwire bra in a criss-cross design, with no pads for a barely-there feel. 78% Polylactide, 22% Elastane. Machine wash."
521,Floral Applique Jersey Thong,"|Black jersey thong with pretty floral applique detailing. 95% Viscose, 5% Elastane. Machine wash.|"
522,**Rose Balcony Bra by TOPSHOP BRIDE,"Perfect your bridal intimates in this pretty ivory balcony bra with luxy lace trim detail. 96% Polyester, 4% Elastane. Machine wash."
523,Minimal Animal Ladypants,"Nude no VPL ladypants with good coverage in all over animal print. 84% Polyamide, 16% Elastane. Machine wash."
524,Broderie Lace Balcony Bra,"Lightly padded balcony bra with underwired cups for a smooth shape and added support. 90% Polyamide,10% Elastane. Machine wash."
525,Jersey Applique Triangle Bra,"With cross-back straps and floral applique detailing, this plum jersey triangle bra pairs form with function for beautiful and comfortable support. 95% Viscose, 5% Elastane. Machine wash."
526,Applique Jersey Triangle Bra,"Bügelloser, ungepolsterter Triangel-BH für einen natürlichen, unauffälligen Look. 95 % Viskose, 5 % Elastan. Maschinenwäsche."
527,Floral Applique Thong,"Lingerie set featuring nude mesh embroidered triangle bra and floral applique thong. 89% Polyamide, 11% Elastane. Machine wash."
528,Jersey Applique Thong,"Plum jersey thong with floral applique detail. 95% Viscose,5% Elastane. Machine wash."
529,Lace Balcony Bra,"Add a touch of lace to your lingerie collection with this pretty ivory lace bra with balcony cups for extra support. 89% Nylon,11% Elastane. Machine wash."
530,Lace Mini Knickers,"Aqua lace mini knickers and balcony bra set. 89% Nylon, 11% Elastane. Machine wash."
531,Padded Lace Triangle Bra,"Pink padded lace triangle bra and mini knickers set. 89% Nylon, 11% Elastane. Machine wash."
532,Colourblock Triangle Bra,"Plum and navy colourblock sporty triangle bra. 85% Polyamide, 15% Elastane. Machine wash."
