id_product,product_name,description
147,Porcelain Rose Low Rise Thong,Delicate and dainty.  
148,Leopard BARE Boyshort,Spot on style.
149,Moody Blooms Brazilian Bikini,Full Blooms
150,*Plus Size* Babydoll with G-String,Peek with pleasure at this sultry lace babydoll.
151,Signature Lace Satin Tie Bondage Teddy,Tie yourself up in our signature lace and satin bondage teddy.
152,Zip Me Down Boyshort,Zip it good
153,Short European Flannel Robe,Snuggle up in our luxurious yarn-dyed cotton flannel robe.
154,Bellisima *Petite Size* Low Rise Thong,A floral beauty.
155,Just Married Signature Lace Cheeky Hipster with Gift Box,"You're only a bride for so long--make it count! Show off your Just Married status on a sheer lace hipster bearing sparkly, flirty crystals."
156,Wink Bralette,Wink wink.
157,Aphrodite Side Tie Bikini,Fit for a goddess.
158,Bridesmaid Original Rise Thong,"Repay your debt of gratitude with a gift that'll make ladies of all ages swoon: an original rise thong bedecked with crystals spelling out ""Bridesmaid""."
159,Long Sleeve Supima® Cotton Gown,Slip into a great night of sleep with this comfy cotton gown.
160,Signature Lace Ali Bodysuit,The perfect high-neck bodysuit.
161,Elizabeth Low Rise Thong,The gold standard.
162,Flora *Plus Size* Retro Thong,In bloom
163,Rolled Heather Jersey Low Rise Thong,Stay cozy in Heather.
164,Rolled Cross-Dyed Boyshort,Scalloped lace and color contrast make this delicate panty a true beauty.
165,Illusion Bra,Delicate lace appliqués appear to float on skin.
166,Annabelle Chemise,Annabelle brings the perfect touch of blue to your big day.
167,Aphrodite Low Rise Thong,Fit for a goddess.
168,Cross-Dyed Brazilian Bikini,Scalloped lace and color contrast make this delicate panty a true beauty.
169,Fiery Floral Low Rise Thong,Red hot!
170,Zip Me Down Low Rise Thong,Zip it good
171,Rolled Capri Bloom Original Rise Thong,Island hopping.
172,Nude Illusion Crotchless G-String,Spice things up with Nude Illusion.  
173,Block Print V-Front Short,Black and white is always right.
174,Lady Catherine Leg Garter,You'll look like a princess in Lady Catherine.
175,Wink Low Rise “Diamond” Thong,Wink wink.
176,Signature Lace Racerback Bralette,Strap happy.
177,BARE G-String,Truly-- what to wear when you want to look BARE®.
178,Signature Lace Bike Short,Our bike short is your new summer essential.
179,Mesh Dot Triangle Bralette,Spot on in our in airy stretch mesh.
180,3 Pack Exclusive Original Rise Thongs,Exclusively ours. Three thongs in one little package and tied with a bow. 
181,Bride Signature Lace Cheeky Hipster with Gift Box,"You're only a bride for so long--make it count! Show off your status on a sheer lace hipster bearing crystals in sparkly, flirty cursive."
182,Leopard Nouveau *Plus Size* Boyshort,You'll want to be spotted in Leopard Nouveau.
183,Exclusive Crystal 3 Pack Original Rise Thongs,A coordinating three pack of our Original Rise Thongs perfect for the holidays. 
184,Love Tied Open Brazilian Bikini,Wrapped with a bow.
185,Signature Lace Crossover Bralette,You're sure to love our best-selling bralette!
186,Rolled Bellisima Boyshort,A floral beauty.
187,Block Print Triangle Bralette,Black and white is always right.
188,Signature Lace Low Rise Thong,A must-have for every woman's lingerie drawer.
189,40th Anniversary Hanky Tap Pant,"Styles inspired by Gale Epstein's original handkerchief lingerie designs from 1977, expertly crafted in New York from vintage hand-embroidered handkerchiefs."
190,Organic Cotton *Plus Size* Boyshort with Lace,Our Hanky Panky boyshort in Organic Cotton.
191,Signature Lace Crotchless Thong,Leave little to the imagination with this crotchless thong.
192,Signature Lace Vixen Cuffs,Let the games begin! Make the most of your playtime wearing these titillating lace cuffs with satin ribbon ties.
193,Leopard Nouveau Glam Bra,You'll want to be spotted in Leopard Nouveau.
194,Cross-Dyed Boyshort,Scalloped lace and color contrast make this delicate panty a true beauty.
195,Moody Blooms Classic Cami,Full Blooms
196,Fiery Floral V-Front Cami,Red hot!
197,Aloha Brazilian Bikini,Holiday in Hawaii.
198,Capri Bloom V-kini,Island hopping.
199,Nude Illusion Tie Bralette,Spice things up with Nude Illusion.
200,Organic Cotton Original Rise Thong with Contrast Trim,Our popular original rise thong in Organic Cotton with contrast trim.
201,Camo Rollergirl Short,Go incognito.
202,Heather Jersey Boyshort,Stay cozy in Heather.
203,Capri Bloom Original Rise Thong,Island hopping.
204,Stars & Stripes V-Front Cami,Perfectly Patriotic.
205,Cage Crotchless G-String,Be daring in this crotchless G-String.
206,Silky *Plus Size* 24” Fitted Half Slip with Lace,"Hanky Panky Silky is the ideal fabric for underpinnings. Made from a naturally hydrophilic filament rayon Lycra® spandex blend, it resists generating static, as compared to synthetic fibers."
207,"Silky *Plus Size* 36"" A-line Slip","Hanky Panky Silky is the ideal fabric for underpinnings. Made from a naturally hydrophilic filament rayon Lycra® spandex blend, it resists generating static, as compared to synthetic fibers."
208,Mia Racerback Tank,"Our newest active-inspired collection can take you from barre to brunch, and everywhere in-between."
209,Rolled Star Spangled Original Rise Thong,Starry eyed.
210,Signature Lace Crotchless Thong Packaged,"A skimpier, crotchless version of our low rise thong with a scintillating opening that leaves little to the imagination. Packaged to perfection."
211,Silky *Plus Size* 34” Fitted Slip with Lace,"Hanky Panky Silky is the ideal fabric for underpinnings. Made from a naturally hydrophilic filament rayon Lycra® spandex blend, it resists generating static, as compared to synthetic fibers."
212,Hot Dot Fly Away Babydoll with G-String,Feel the heat in Hot Dot .
213,Signature Lace *Plus Size* Long Sleeve Top,The perfect top for all year long.
214,Exclusive 3 Pack Low Rise Thongs,A coordinating three pack of our Low Rise Thongs perfect for the holidays. 
215,Capri Bloom *Plus Size* Retro Thong,Island hopping.
216,Retro Lace Hot Pant,Feel like Old Hollywood Glamour in our Retro Hot Pant.
217,Rolled Block Print Low Rise Thong,Black and white is always right.
218,Star Spangled Lined Bandeau,Starry eyed.
219,Floral Chiffon Tap Pant,Floral whimsy.
220,Organic Cotton Low Rise Thong with Lace,Our popular low rise thong in Organic Cotton.
221,Annabelle Camisole,Annabelle brings the perfect touch of blue to your big day.
222,Leopard Nouveau *Plus Size* Retro Thong,You'll want to be spotted in Leopard Nouveau.
223,Rolled Fiery Floral Original Rise Thong,Red hot!
